"","site","Lat","Lon"
"1","Aberdeen","57.15736","-2.094278"
"2","Armagh Roadside","54.353728","-6.654558"
"3","Auchencorth Moss","55.79216","-3.2429"
"4","Barnstaple A39","51.074793","-4.041924"
"5","Belfast Centre","54.59965","-5.928833"
"6","Birmingham Centre","52.479724","-1.908078"
"7","Birmingham Tyburn","52.511722","-1.830583"
"8","Birmingham Tyburn Roadside","52.512194","-1.830861"
"9","Blackpool Marton","53.80489","-3.007175"
"10","Bristol St Paul's","51.462839","-2.584482"
"11","Bury Roadside","53.53911","-2.289611"
"12","Bury Whitefield Roadside","53.559029","-2.293772"
"13","Camden Kerbside","51.54421","-0.175269"
"14","Cardiff Centre","51.48178","-3.17625"
"15","Carlisle Roadside","54.894834","-2.945307"
"16","Chatham Roadside","51.374264","0.54797"
"17","Chepstow A48","51.638094","-2.678731"
"18","Chesterfield","53.230583","-1.433611"
"19","Chesterfield Loundsley Green","53.244131","-1.454946"
"20","Chesterfield Roadside","53.231722","-1.456944"
"21","Chilbolton Observatory","51.149617","-1.438228"
"22","Coventry Memorial Park","52.394399","-1.519612"
"23","Derry","55.001225","-7.329115"
"24","Derry Rosemount","55.002818","-7.331179"
"25","Ealing Horn Lane","51.51895","-0.265617"
"26","Eastbourne","50.805778","0.271611"
"27","Edinburgh St Leonards","55.945589","-3.182186"
"28","Glasgow Centre","55.85773","-4.255161"
"29","Glasgow High Street","55.860936","-4.238214"
"30","Glasgow Kerbside","55.85917","-4.258889"
"31","Glasgow Townhead","55.865782","-4.243631"
"32","Grangemouth","56.010319","-3.704399"
"33","Haringey Roadside","51.5993","-0.068218"
"34","Harwell","51.571078","-1.325283"
"35","Hull Freetown","53.74878","-0.341222"
"36","Hull Holderness Road","53.758971","-0.305749"
"37","Leamington Spa","52.28881","-1.533119"
"38","Leamington Spa Rugby Road","52.294884","-1.542911"
"39","Leeds Centre","53.80378","-1.546472"
"40","Leeds Headingley Kerbside","53.819972","-1.576361"
"41","Leicester A594 Roadside","52.638677","-1.124228"
"42","Leicester Centre","52.631348","-1.133006"
"43","Leicester University","52.619823","-1.127311"
"44","Liverpool Speke","53.34633","-2.844333"
"45","London Bloomsbury","51.52229","-0.125889"
"46","London Harlington","51.48879","-0.441614"
"47","London Marylebone Road","51.52253","-0.154611"
"48","London N. Kensington","51.52105","-0.213492"
"49","Lough Navar","54.43951","-7.900328"
"50","Manchester Piccadilly","53.48152","-2.237881"
"51","Middlesbrough","54.569297","-1.220874"
"52","Narberth","51.781784","-4.691462"
"53","Newcastle Centre","54.97825","-1.610528"
"54","Newport","51.601203","-2.977281"
"55","Norwich Lakenfields","52.614193","1.301976"
"56","Nottingham Centre","52.95473","-1.146447"
"57","Nottingham Western Boulevard","52.969377","-1.188851"
"58","Oxford St Ebbes","51.744806","-1.260278"
"59","Plymouth Centre","50.37167","-4.142361"
"60","Port Talbot","51.5798","-3.76169"
"61","Port Talbot Margam","51.58395","-3.770822"
"62","Portsmouth","50.82881","-1.068583"
"63","Preston","53.76559","-2.680353"
"64","Reading New Town","51.45309","-0.944067"
"65","Rochester Stoke","51.45617","0.634889"
"66","Salford Eccles","53.48481","-2.334139"
"67","Saltash Callington Road","50.411463","-4.227678"
"68","Saltash Roadside","50.4131","-4.2303"
"69","Sandy Roadside","52.132417","-0.300306"
"70","Scunthorpe Town","53.58634","-0.636811"
"71","Sheffield Centre","53.37772","-1.473306"
"72","Sheffield Devonshire Green","53.378622","-1.478096"
"73","Southampton A33","50.920265","-1.463484"
"74","Southampton Centre","50.90814","-1.395778"
"75","Southend-on-Sea","51.544206","0.678408"
"76","Southwark A2 Old Kent Road","51.480499","-0.05955"
"77","Stanford-le-Hope Roadside","51.518167","0.439548"
"78","Stoke-on-Trent A50 Roadside","52.980436","-2.111898"
"79","Stoke-on-Trent Centre","53.02821","-2.175133"
"80","Storrington Roadside","50.916932","-0.449548"
"81","Swansea Roadside","51.632696","-3.947374"
"82","Thurrock","51.47707","0.317969"
"83","Warrington","53.38928","-2.615358"
"84","Wirral Tranmere","53.37287","-3.022722"
"85","Wolverhampton Centre","52.58818","-2.129008"
"86","York Bootham","53.967513","-1.086514"
"87","York Fishergate","53.951889","-1.075861"
