"site","site_name","variable","date_started","date_ended","latitude","longitude","data_table","database_name"
"abd","Aberdeen","pm25",2009-02-20,NA,57.15736,-2.094278,"measurement","archive"
"acth","Auchencorth Moss","pm25",2006-01-01,NA,55.79216,-3.2429,"measurement","archive"
"acth","Auchencorth Moss","gr25",2006-01-01,NA,55.79216,-3.2429,"measurement","archive"
"bple","Barnstaple A39","pm25",2013-11-14,NA,51.074793,-4.041924,"measurement","archive"
"bel2","Belfast Centre","gr25",2001-02-02,2007-10-08,54.59965,-5.928833,"measurement","archive"
"bel2","Belfast Centre","pm25",2008-10-01,NA,54.59965,-5.928833,"measurement","archive"
"agrn","Birmingham Acocks Green","pm25",2011-07-26,NA,52.437165,-1.829999,"measurement","archive"
"birm","Birmingham Centre","gr25",2000-09-26,2007-10-02,52.479724,-1.908078,"measurement","archive"
"birm","Birmingham Centre","pm25",2008-09-03,2009-01-14,52.479724,-1.908078,"measurement","archive"
"bir1","Birmingham Tyburn","pm25",2008-12-12,NA,52.511722,-1.830583,"measurement","archive"
"birt","Birmingham Tyburn Roadside","pm25",2009-02-11,NA,52.512194,-1.830861,"measurement","archive"
"blc2","Blackpool Marton","pm25",2009-01-28,NA,53.80489,-3.007175,"measurement","archive"
"born","Bournemouth","gr25",2009-01-01,NA,50.73957,-1.826744,"measurement","archive"
"brt3","Brighton Preston Park","gr25",2008-04-01,NA,50.840836,-0.147572,"measurement","archive"
"brs8","Bristol St Paul's","pm25",2008-08-12,NA,51.462839,-2.584482,"measurement","archive"
"bury","Bury Roadside","pm25",2009-05-07,2012-09-06,53.53911,-2.289611,"measurement","archive"
"burw","Bury Whitefield Roadside","pm25",2015-01-01,2015-01-01,53.559029,-2.293772,"measurement","archive"
"ca1","Camden Kerbside","pm25",2009-02-19,NA,51.54421,-0.175269,"measurement","archive"
"card","Cardiff Centre","pm25",2008-08-12,NA,51.48178,-3.17625,"measurement","archive"
"carl","Carlisle Roadside","pm25",2009-03-17,NA,54.894834,-2.945307,"measurement","archive"
"chat","Chatham Roadside","pm25",2010-07-01,NA,51.374264,0.54797,"measurement","archive"
"chp","Chepstow A48","pm25",2010-02-09,NA,51.638094,-2.678731,"measurement","archive"
"chs6","Chesterfield","pm25",2008-12-17,2014-05-20,53.230583,-1.433611,"measurement","archive"
"chlg","Chesterfield Loundsley Green","pm25",2015-03-01,NA,53.244131,-1.454946,"measurement","archive"
"chs7","Chesterfield Roadside","pm25",2009-07-01,NA,53.231722,-1.456944,"measurement","archive"
"coal","Coventry Allesley","pm25",2014-06-17,NA,52.411563,-1.560228,"measurement","archive"
"cov3","Coventry Memorial Park","pm25",2008-12-16,2014-06-10,52.394399,-1.519612,"measurement","archive"
"dery","Derry","pm25",2008-02-20,NA,55.001225,-7.329115,"measurement","archive"
"eb","Eastbourne","pm25",2009-07-01,NA,50.805778,0.271611,"measurement","archive"
"ed3","Edinburgh St Leonards","pm25",2008-10-01,NA,55.945589,-3.182186,"measurement","archive"
"gla3","Glasgow Centre","pm25",2008-12-02,2012-08-16,55.85773,-4.255161,"measurement","archive"
"gla3","Glasgow Centre","gr25",2000-10-18,2007-10-09,55.85773,-4.255161,"measurement","archive"
"ghsr","Glasgow High Street","pm25",2015-01-27,NA,55.860936,-4.238214,"measurement","archive"
"gla4","Glasgow Kerbside","pm25",2009-05-28,2014-12-31,55.85917,-4.258889,"measurement","archive"
"glkp","Glasgow Townhead","pm25",2013-10-07,NA,55.865782,-4.243631,"measurement","archive"
"gran","Grangemouth","pm25",2008-12-03,NA,56.010319,-3.704399,"measurement","archive"
"hg1","Haringey Roadside","pm25",2009-02-18,NA,51.5993,-0.068218,"measurement","archive"
"har","Harwell","pm25",1998-04-17,NA,51.571078,-1.325283,"measurement","archive"
"har","Harwell","gr25",2008-07-04,NA,51.571078,-1.325283,"measurement","archive"
"har","Harwell","gr25",2000-09-07,2007-10-06,51.571078,-1.325283,"measurement","archive"
"hul2","Hull Freetown","pm25",2008-08-27,NA,53.74878,-0.341222,"measurement","archive"
"inv2","Inverness","gr25",2008-06-01,NA,57.481308,-4.241451,"measurement","archive"
"leam","Leamington Spa","pm25",2008-12-18,NA,52.28881,-1.533119,"measurement","archive"
"lear","Leamington Spa Rugby Road","pm25",2012-06-01,NA,52.294884,-1.542911,"measurement","archive"
"leed","Leeds Centre","pm25",2008-12-02,NA,53.80378,-1.546472,"measurement","archive"
"led6","Leeds Headingley Kerbside","pm25",2009-04-02,NA,53.819972,-1.576361,"measurement","archive"
"leic","Leicester Centre","pm25",2008-09-01,2013-09-23,52.631348,-1.133006,"measurement","archive"
"lecu","Leicester University","pm25",2013-10-01,NA,52.619823,-1.127311,"measurement","archive"
"lvp","Liverpool Speke","pm25",2008-09-17,NA,53.34633,-2.844333,"measurement","archive"
"bex","London Bexley","pm25",2008-02-25,NA,51.46603,0.184806,"measurement","archive"
"cll2","London Bloomsbury","pm25",1998-03-26,NA,51.52229,-0.125889,"measurement","archive"
"lon6","London Eltham","pm25",2008-05-15,NA,51.45258,0.070766,"measurement","archive"
"hrl","London Harlington","pm25",2008-09-16,NA,51.48879,-0.441614,"measurement","archive"
"hr3","London Harrow Stanmore","pm25",2008-12-16,NA,51.617333,-0.298777,"measurement","archive"
"my1","London Marylebone Road","gr25",2000-09-07,2007-10-16,51.52253,-0.154611,"measurement","archive"
"my1","London Marylebone Road","gr25",2008-04-01,NA,51.52253,-0.154611,"measurement","archive"
"my1","London Marylebone Road","pm25",1998-04-01,NA,51.52253,-0.154611,"measurement","archive"
"kc1","London N. Kensington","gr25",2008-05-07,NA,51.52105,-0.213492,"measurement","archive"
"kc1","London N. Kensington","pm25",2008-12-17,NA,51.52105,-0.213492,"measurement","archive"
"kc1","London N. Kensington","gr25",2000-09-07,2007-10-24,51.52105,-0.213492,"measurement","archive"
"ted","London Teddington","pm25",2008-12-08,2013-07-11,51.42099,-0.339647,"measurement","archive"
"ted2","London Teddington Bushy Park","pm25",2013-08-09,NA,51.425286,-0.345606,"measurement","archive"
"hors","London Westminster","gr25",2008-12-25,NA,51.49467,-0.131931,"measurement","archive"
"man3","Manchester Piccadilly","pm25",2009-01-15,NA,53.48152,-2.237881,"measurement","archive"
"man3","Manchester Piccadilly","gr25",2002-02-28,2007-10-04,53.48152,-2.237881,"measurement","archive"
"mid","Middlesbrough","pm25",2008-11-13,NA,54.569297,-1.220874,"measurement","archive"
"newc","Newcastle Centre","pm25",2008-08-24,NA,54.97825,-1.610528,"measurement","archive"
"npt3","Newport","pm25",2008-12-12,NA,51.601203,-2.977281,"measurement","archive"
"nton","Northampton","gr25",2008-09-01,2012-07-09,52.27349,-0.885933,"measurement","archive"
"ntn3","Northampton Kingsthorpe","gr25",2012-07-09,NA,52.271886,-0.879898,"measurement","archive"
"no12","Norwich Lakenfields","pm25",2009-10-08,NA,52.614193,1.301976,"measurement","archive"
"nott","Nottingham Centre","pm25",2008-12-19,NA,52.95473,-1.146447,"measurement","archive"
"ox8","Oxford St Ebbes","pm25",2008-12-18,NA,51.744806,-1.260278,"measurement","archive"
"plym","Plymouth Centre","pm25",2009-10-13,NA,50.37167,-4.142361,"measurement","archive"
"pt","Port Talbot","gr25",2000-09-14,2007-07-22,51.5798,-3.76169,"measurement","archive"
"pt4","Port Talbot Margam","gr25",2008-01-01,2010-02-18,51.58395,-3.770822,"measurement","archive"
"pt4","Port Talbot Margam","pm25",2008-04-23,NA,51.58395,-3.770822,"measurement","archive"
"pt4","Port Talbot Margam","gr25",2007-10-19,2007-12-31,51.58395,-3.770822,"measurement","archive"
"pmth","Portsmouth","pm25",2008-12-23,NA,50.82881,-1.068583,"measurement","archive"
"pres","Preston","pm25",2009-01-27,NA,53.76559,-2.680353,"measurement","archive"
"rea1","Reading New Town","pm25",2008-09-25,NA,51.45309,-0.944067,"measurement","archive"
"roch","Rochester Stoke","pm25",1998-04-28,NA,51.45617,0.634889,"measurement","archive"
"eccl","Salford Eccles","pm25",2008-11-26,NA,53.48481,-2.334139,"measurement","archive"
"sash","Saltash Callington Road","pm25",2013-01-01,NA,50.411463,-4.227678,"measurement","archive"
"salt","Saltash Roadside","pm25",2010-02-23,2010-08-31,50.4131,-4.2303,"measurement","archive"
"sdy","Sandy Roadside","pm25",2009-01-27,NA,52.132417,-0.300306,"measurement","archive"
"she2","Sheffield Centre","pm25",2008-12-10,2013-08-30,53.37772,-1.473306,"measurement","archive"
"shdg","Sheffield Devonshire Green","pm25",2013-10-31,NA,53.378622,-1.478096,"measurement","archive"
"sout","Southampton Centre","pm25",2008-11-05,NA,50.90814,-1.395778,"measurement","archive"
"send","Southend-on-Sea","pm25",2009-01-30,NA,51.544206,0.678408,"measurement","archive"
"hope","Stanford-le-Hope Roadside","pm25",2009-04-01,NA,51.518167,0.439548,"measurement","archive"
"eagl","Stockton-on-Tees Eaglescliffe","pm25",2008-09-01,NA,54.516667,-1.358547,"measurement","archive"
"stok","Stoke-on-Trent Centre","pm25",2008-11-05,NA,53.02821,-2.175133,"measurement","archive"
"stor","Storrington Roadside","pm25",2009-08-01,NA,50.916932,-0.449548,"measurement","archive"
"sun2","Sunderland Silksworth","pm25",2008-12-09,NA,54.88361,-1.406878,"measurement","archive"
"swa1","Swansea Roadside","pm25",2006-09-20,NA,51.632696,-3.947374,"measurement","archive"
"war","Warrington","pm25",2008-11-27,NA,53.38928,-2.615358,"measurement","archive"
"wig5","Wigan Centre","pm25",2008-11-27,NA,53.54914,-2.638139,"measurement","archive"
"tran","Wirral Tranmere","pm25",2009-01-28,NA,53.37287,-3.022722,"measurement","archive"
"wrex","Wrexham","gr25",2009-12-01,NA,53.04222,-3.002778,"measurement","archive"
"yk10","York Bootham","pm25",2008-12-03,NA,53.967513,-1.086514,"measurement","archive"
"yk11","York Fishergate","pm25",2011-08-31,NA,53.951889,-1.075861,"measurement","archive"
